Successful opening input_fpa
Successful opening new_fake10kdba
Malloc done
Memcpy FP done
Memcpy done
Malloc again done
ID 7586-1517	: 0.56459
ID 6085-1217	: 0.564443
ID 6195-1239	: 0.56444
ID 8697-1739	: 0.563945
ID 5269-1053	: 0.563832
ID 8564-1712	: 0.563769
ID 6858-1371	: 0.563765
ID 4191-838	: 0.563693
ID 8872-1774	: 0.563582
ID 1236-247	: 0.563338
ID 7749-1549	: 0.563274
ID 4122-824	: 0.563154
ID 9662-1932	: 0.563135
ID 4637-927	: 0.563133
ID 2435-487	: 0.562767
ID 9513-1902	: 0.562682
ID 7511-1502	: 0.562569
ID 936-187	: 0.562515
ID 2066-413	: 0.562407
ID 3715-743	: 0.562313
ID 8730-1746	: 0.562292
ID 8058-1611	: 0.562161
ID 8904-1780	: 0.562057
ID 4950-990	: 0.561613
ID 3907-781	: 0.561595
ID 4002-800	: 0.5615
ID 9655-1931	: 0.561402
ID 4985-997	: 0.561153
ID 2904-580	: 0.560932
ID 9541-1908	: 0.560926
ID 2518-503	: 0.560883
ID 6945-1389	: 0.560857
ID 8429-1685	: 0.56081
ID 1572-314	: 0.560737
ID 6723-1344	: 0.560657
ID 4724-944	: 0.560534
ID 2920-584	: 0.560445
ID 1420-284	: 0.560189
ID 5225-1045	: 0.560156
ID 2413-482	: 0.560085
ID 6045-1209	: 0.560082
ID 6829-1365	: 0.559937
ID 251-50	: 0.559913
ID 5239-1047	: 0.559865
ID 4066-813	: 0.559784
ID 5672-1134	: 0.559712
ID 8261-1652	: 0.559712
ID 8048-1609	: 0.559641
ID 9867-1973	: 0.559637
ID 7413-1482	: 0.559551
ID 5118-1023	: 0.559244
ID 3090-618	: 0.559225
ID 6892-1378	: 0.559198
ID 9136-1827	: 0.559138
ID 103-20	: 0.559086
ID 2445-489	: 0.558855
ID 8752-1750	: 0.558513
ID 760-152	: 0.558451
ID 782-156	: 0.558431
ID 7493-1498	: 0.558413
ID 1969-393	: 0.558401
ID 8519-1703	: 0.558172
ID 4360-872	: 0.558125
ID 2236-447	: 0.557866
ID 1978-395	: 0.557809
ID 7085-1417	: 0.557794
ID 1955-391	: 0.557726
ID 5579-1115	: 0.557621
ID 5484-1096	: 0.557493
ID 3197-639	: 0.557443
ID 5255-1051	: 0.557423
ID 2560-512	: 0.557379
ID 5611-1122	: 0.557127
ID 6507-1301	: 0.557078
ID 7631-1526	: 0.556991
ID 523-104	: 0.556989
ID 9743-1948	: 0.556899
ID 7058-1411	: 0.556783
ID 8880-1776	: 0.556646
ID 4675-935	: 0.556468
ID 8591-1718	: 0.556455
ID 6566-1313	: 0.55639
ID 9275-1855	: 0.55627
ID 7979-1595	: 0.556106
ID 4772-954	: 0.555983
ID 8750-1750	: 0.555943
ID 360-72	: 0.555918
ID 3999-799	: 0.555683
ID 7838-1567	: 0.555651
ID 9320-1864	: 0.55561
ID 7651-1530	: 0.555395
ID 8176-1635	: 0.555376
ID 1198-239	: 0.555235
ID 6832-1366	: 0.555099
ID 2463-492	: 0.554956
ID 5956-1191	: 0.55493
ID 7909-1581	: 0.554485
ID 5361-1072	: 0.554482
ID 7787-1557	: 0.554276
ID 3851-770	: 0.554244
ID 4320-864	: 0.554234
ID 2368-473	: 0.554018
ID 2211-442	: 0.553966
ID 2801-560	: 0.553477
ID 7716-1543	: 0.553267
ID 9518-1903	: 0.553256
ID 2624-524	: 0.552986
ID 7920-1584	: 0.552977
ID 3278-655	: 0.552707
ID 2495-499	: 0.552692
ID 2269-453	: 0.552612
ID 6309-1261	: 0.552369
ID 7194-1438	: 0.552336
ID 8386-1677	: 0.552252
ID 4366-873	: 0.552032
ID 971-194	: 0.55189
ID 2706-541	: 0.551779
ID 1817-363	: 0.551406
ID 9291-1858	: 0.551401
ID 732-146	: 0.55119
ID 7158-1431	: 0.551155
ID 5025-1005	: 0.551133
ID 7714-1542	: 0.551132
ID 943-188	: 0.55099
ID 5970-1194	: 0.550752
ID 6167-1233	: 0.550338
ID 8798-1759	: 0.5503
ID 6583-1316	: 0.550254
ID 7774-1554	: 0.550236
ID 8358-1671	: 0.549975
ID 2142-428	: 0.549964
ID 238-47	: 0.549963
ID 6123-1224	: 0.549946
ID 1462-292	: 0.549755
ID 9085-1817	: 0.549724
ID 3095-619	: 0.5496
ID 8497-1699	: 0.549541
ID 5800-1160	: 0.549349
ID 9434-1886	: 0.549315
ID 9803-1960	: 0.549155
ID 1753-350	: 0.549073
ID 9486-1897	: 0.54903
ID 8443-1688	: 0.548954
ID 9929-1985	: 0.548778
ID 4047-809	: 0.548667
ID 2340-468	: 0.548279
ID 777-155	: 0.548261
ID 2943-588	: 0.548206
ID 8399-1679	: 0.548068
ID 2727-545	: 0.547823
ID 9699-1939	: 0.547814
ID 5099-1019	: 0.547702
ID 4440-888	: 0.547549
ID 704-140	: 0.547366
ID 9072-1814	: 0.547088
ID 6982-1396	: 0.547041
ID 16-3	: 0.546898
ID 9985-1997	: 0.546681
ID 6126-1225	: 0.546664
ID 2204-440	: 0.546486
ID 1332-266	: 0.546468
ID 5504-1100	: 0.546117
ID 3981-796	: 0.546107
ID 603-120	: 0.546105
ID 4707-941	: 0.546032
ID 5044-1008	: 0.546025
ID 7767-1553	: 0.54602
ID 9051-1810	: 0.546017
ID 176-35	: 0.54599
ID 6199-1239	: 0.545875
ID 6329-1265	: 0.545862
ID 9446-1889	: 0.545766
ID 1-0	: 0.545616
ID 8883-1776	: 0.545602
ID 3285-657	: 0.545581
ID 6386-1277	: 0.545575
ID 3735-747	: 0.545554
ID 9530-1906	: 0.545537
ID 2881-576	: 0.545429
ID 1521-304	: 0.544684
ID 4330-866	: 0.544659
ID 6515-1303	: 0.544531
ID 1273-254	: 0.544496
ID 4504-900	: 0.544458
ID 860-172	: 0.544428
ID 9340-1868	: 0.544334
ID 3118-623	: 0.544165
ID 3316-663	: 0.54416
ID 8775-1755	: 0.544009
ID 9881-1976	: 0.543964
ID 8465-1693	: 0.543706
ID 2224-444	: 0.543485
ID 9219-1843	: 0.543476
ID 1458-291	: 0.543458
ID 6378-1275	: 0.543428
ID 6929-1385	: 0.543328
ID 2380-476	: 0.543151
ID 245-49	: 0.543104
ID 9255-1851	: 0.543098
ID 2714-542	: 0.543094
ID 2437-487	: 0.543082
ID 7466-1493	: 0.543002
ID 9900-1980	: 0.542808
ID 1195-239	: 0.542747
ID 6430-1286	: 0.542296
ID 8410-1682	: 0.542167
ID 5067-1013	: 0.54212
ID 116-23	: 0.542089
ID 7947-1589	: 0.542027
ID 5951-1190	: 0.541859
ID 1776-355	: 0.541837
ID 1432-286	: 0.54174
ID 4451-890	: 0.541728
ID 8977-1795	: 0.541691
ID 2719-543	: 0.541614
ID 1308-261	: 0.541405
ID 3655-731	: 0.541368
ID 481-96	: 0.541259
ID 5047-1009	: 0.541014
ID 8515-1703	: 0.540939
ID 6255-1251	: 0.540833
ID 8820-1764	: 0.540805
ID 1681-336	: 0.54069
ID 4940-988	: 0.540422
ID 1757-351	: 0.54033
ID 5277-1055	: 0.540183
ID 7372-1474	: 0.54017
ID 2038-407	: 0.539991
ID 8731-1746	: 0.539981
ID 4922-984	: 0.539975
ID 8569-1713	: 0.53976
ID 9748-1949	: 0.539688
ID 4615-923	: 0.539664
ID 1123-224	: 0.539247
ID 6339-1267	: 0.539171
ID 1876-375	: 0.539154
ID 8456-1691	: 0.538933
ID 6952-1390	: 0.538777
ID 4158-831	: 0.538727
ID 9578-1915	: 0.53856
ID 1099-219	: 0.538469
ID 4540-908	: 0.538445
ID 4321-864	: 0.538422
ID 7328-1465	: 0.538408
ID 3643-728	: 0.538378
ID 4585-917	: 0.538363
ID 1455-291	: 0.538334
ID 7647-1529	: 0.538257
ID 608-121	: 0.538177
ID 5976-1195	: 0.538149
ID 3099-619	: 0.538057
ID 559-111	: 0.538028
ID 7355-1471	: 0.537915
ID 5429-1085	: 0.537849
ID 5549-1109	: 0.537781
ID 588-117	: 0.537732
ID 1265-253	: 0.537578
ID 4557-911	: 0.537314
ID 39-7	: 0.537226
ID 7167-1433	: 0.537105
ID 5606-1121	: 0.537066
ID 5473-1094	: 0.537065
ID 2606-521	: 0.536984
ID 5708-1141	: 0.536928
ID 7872-1574	: 0.536916
ID 2508-501	: 0.536793
ID 2688-537	: 0.536731
ID 8842-1768	: 0.536673
ID 1120-224	: 0.536414
ID 805-161	: 0.536369
ID 5622-1124	: 0.536368
ID 2241-448	: 0.536354
ID 2021-404	: 0.536287
ID 4245-849	: 0.536214
ID 1127-225	: 0.535516
ID 7024-1404	: 0.535489
ID 5054-1010	: 0.535281
ID 2033-406	: 0.535228
ID 4254-850	: 0.535084
ID 9323-1864	: 0.53497
ID 6636-1327	: 0.534765
ID 8756-1751	: 0.53468
ID 349-69	: 0.53467
ID 4593-918	: 0.534629
ID 6854-1370	: 0.534621
ID 480-96	: 0.534463
ID 4473-894	: 0.534237
ID 4235-847	: 0.534133
ID 978-195	: 0.534049
ID 6560-1312	: 0.534037
ID 2811-562	: 0.534024
ID 4858-971	: 0.533954
ID 8109-1621	: 0.533935
ID 7699-1539	: 0.533855
ID 2084-416	: 0.533739
ID 4013-802	: 0.533724
ID 1721-344	: 0.533672
ID 5727-1145	: 0.533534
ID 2123-424	: 0.533394
ID 5816-1163	: 0.53337
ID 3058-611	: 0.533249
ID 3609-721	: 0.533023
ID 6960-1392	: 0.532941
ID 9355-1871	: 0.532909
ID 7842-1568	: 0.532758
ID 8812-1762	: 0.532698
ID 7426-1485	: 0.532653
ID 8909-1781	: 0.532624
ID 6265-1253	: 0.53261
ID 9852-1970	: 0.532477
ID 3509-701	: 0.532394
ID 6971-1394	: 0.532242
ID 9309-1861	: 0.532121
ID 9012-1802	: 0.531956
ID 3182-636	: 0.531943
ID 2867-573	: 0.531939
ID 7967-1593	: 0.531922
ID 7731-1546	: 0.531752
ID 313-62	: 0.531635
ID 2477-495	: 0.531599
ID 5641-1128	: 0.53147
ID 8846-1769	: 0.531375
ID 2576-515	: 0.531049
ID 4905-981	: 0.530942
ID 4271-854	: 0.530932
ID 6726-1345	: 0.530779
ID 1398-279	: 0.530582
ID 800-160	: 0.530551
ID 4642-928	: 0.530472
ID 6238-1247	: 0.530252
ID 8336-1667	: 0.530197
ID 3394-678	: 0.529932
ID 8369-1673	: 0.529838
ID 3229-645	: 0.529795
ID 6156-1231	: 0.529351
ID 267-53	: 0.529226
ID 1892-378	: 0.529219
ID 5121-1024	: 0.529024
ID 9143-1828	: 0.529021
ID 9593-1918	: 0.528913
ID 8950-1790	: 0.528909
ID 999-199	: 0.528702
ID 5379-1075	: 0.528666
ID 8762-1752	: 0.528626
ID 7743-1548	: 0.528494
ID 8806-1761	: 0.528411
ID 1943-388	: 0.528393
ID 5414-1082	: 0.52838
ID 5400-1080	: 0.528266
ID 4783-956	: 0.528224
ID 5664-1132	: 0.528179
ID 9095-1819	: 0.528105
ID 8321-1664	: 0.527652
ID 9974-1994	: 0.527562
ID 2385-477	: 0.527555
ID 8792-1758	: 0.527304
ID 374-74	: 0.527233
ID 9660-1932	: 0.527177
ID 1006-201	: 0.527063
ID 2795-559	: 0.526896
ID 512-102	: 0.52677
ID 2552-510	: 0.526714
ID 5470-1094	: 0.526698
ID 2635-527	: 0.526333
ID 3069-613	: 0.526229
ID 327-65	: 0.526221
ID 6207-1241	: 0.526148
ID 2681-536	: 0.526079
ID 9121-1824	: 0.52607
ID 9062-1812	: 0.525954
ID 1375-275	: 0.525845
ID 2911-582	: 0.525716
ID 4152-830	: 0.525601
ID 8304-1660	: 0.52548
ID 4685-937	: 0.525286
ID 7912-1582	: 0.525227
ID 9935-1987	: 0.525201
ID 1395-279	: 0.525178
